"행정구역별","항목",2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2023,2023,2023,2023,2023,2023
"행정구역별","항목",계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상,계,30대이하,40대,50대,60대,70대이상
"정선군","동반가구원수 (명)",22,9,0,6,6,X,21,6,X,5,5,4,37,13,4,10,6,4,16,5,X,7,X,0,15,5,X,4,4,X,5,X,0,X,X,0
"철원군","귀농가구원수 (명)",56,15,11,13,16,X,42,13,7,12,8,X,40,7,4,11,17,X,48,9,7,12,14,6,46,13,7,9,16,X,33,7,4,7,10,5
"철원군","귀농인수 (명)",42,8,9,10,14,X,32,8,5,11,6,X,29,X,4,9,14,X,33,4,6,11,8,4,38,6,7,8,16,X,22,X,4,5,7,X
"철원군","동반가구원수 (명)",14,7,X,X,X,0,10,5,X,X,X,0,11,6,0,X,X,0,15,5,X,X,6,X,8,7,0,X,0,0,11,4,0,X,X,X
"화천군","귀농가구원수 (명)",69,14,15,15,20,5,72,16,8,18,25,5,70,11,9,22,22,6,57,7,7,15,22,6,67,11,6,15,30,5,23,X,X,6,11,X
"화천군","귀농인수 (명)",53,4,12,14,18,5,48,X,7,12,22,4,53,X,7,18,21,5,41,4,5,13,15,4,48,X,6,13,25,X,22,X,X,6,11,X
"화천군","동반가구원수 (명)",16,10,X,X,X,0,24,13,X,6,X,X,17,9,X,4,X,X,16,X,X,X,7,X,19,10,0,X,5,X,X,0,0,0,0,X
"양구군","귀농가구원수 (명)",29,X,5,16,5,0,61,10,5,28,16,X,47,15,10,11,9,X,43,9,X,12,17,X,30,5,X,12,10,X,31,X,X,13,12,X
"양구군","귀농인수 (명)",24,0,5,14,5,0,50,6,4,23,15,X,34,7,6,11,8,X,32,X,X,9,16,X,21,X,X,9,9,X,26,X,X,10,10,X
"양구군","동반가구원수 (명)",5,X,0,X,0,0,11,4,X,5,X,0,13,8,4,0,X,0,11,6,X,X,X,0,9,4,X,X,X,0,5,0,0,X,X,0
